,질문,답변
81,"질문
공통일반 일반인의 예금 및 대출 거래","답변
한국은행은 「한국은행법」 제79조에 따라 정부·정부대행기관 또는 금융기관 이외의 법인이나 개인과 예금 또는 대출의 거래를 할 수 없습니다. 아울러 한국은행은 정부·정부대행기관 또는 금융기관외의 법인이나 개인의 채무를 표시하는 증권을 매입할 수도 없습니다. 다만, 예외적으로 금융통화위원회가 정하는 바에 따라 업무수행에 필요하다고 인정하는 법인과는 예금거래를 할 수 있습니다."
82,"질문
공통일반 구(舊) 한국은행 및 조선은행과의 관계","답변
구(舊) 한국은행은 1909년 7월 대한제국 정부가 일본 통감부와 「한국 중앙은행 설립에 관한 협정」을 체결함과 동시에 공포한 「한국은행조례」에 따라 같은 해 11월 설립되었습니다. 이에 따라 당시까지 일본 제일은행이 수행하던 발권 및 국고업무가 구(舊) 한국은행으로 이관되었습니다. 그러나 1910년 8월 「한일합병조약」 체결 후 일본이 금융제도를 개편하면서 「조선은행법」을 제정 공포함에 따라 구(舊) 한국은행은 1911년 8월 15일 조선은행으로 개편되었습니다.

조선은행은 발권, 국고업무 등 중앙은행 기능을 일부 수행하였으나 그 궁극적인 설립 의도는 우리나라 경제에 대한 수탈과 일본 산업자본의 대륙침투를 위한 금융조직을 보다 강화하는 데 있었습니다. 실제로 조선은행은 태평양전쟁 기간 중 은행권을 남발함으로써 일본의 전비조달을 지원하는 역할을 하였습니다.

광복 후에도 조선은행은 미군정법령에 의하여 발권, 국고, 대외지급준비자산의 보유, 시중은행에 대한 재할인 등 기존의 중앙은행 업무와 함께 상업은행 업무를 그대로 수행하였으나, 1950년 5월 제정된 「한국은행법」에 따라 조선은행은 중앙은행 업무를 신설 한국은행에, 상업은행 업무를 상호은행에 이양하고 해산되었습니다."
83,"질문
경제통계 경제성장률","답변
경제성장률이란 각 경제활동부문이 만들어낸 부가가치가 전년에 비하여 얼마만큼 증가하였는가를 백분율로 나타내는 것을 의미합니다. 경제성장률은 물가요인을 제거한 실질 GDP 성장률을 의미하는데 다음과 같이 계산합니다.
한편, 수개년 동안의 연평균 경제성장률을 정확하게 계산하고자 할 때에는 기하평균으로 기간중 연평균 경제성장률을 산출할 수 있는데, 예를 들면 다음과 같습니다.
  ex) 2010년~2014년중 연평균 경제성장률(%)
    "
84,"질문
국고증권 과오납금반환금 지급 절차","답변
수입징수관 또는 납부자의 착오로 인해 징수·납부하여야 할 금액보다 수입금이 초과 납부된 경우에는 수입징수관이 납부자에게 과오납부된 금액을 반환하게 됩니다. 과오납금반환금은 한국은행이 수입징수관의 요청에 의해 반환하고 있으며, 동 업무는 한국은행 국고전산망을 통해 금융기관(우체국 포함)에 개설된 수취인 예금계좌로 이체하는 방식으로 처리되고 있습니다."
85,"질문
발권출납 옛날 돈과 현용화폐와의 교환","답변
한국은행은 1962년 이후에 발행된 원 표시 화폐에 대해서만 액면 금액으로 교환해 드리고 있습니다. 기타 옛날 돈은 한국은행에서 현용화폐로 교환할 수 없으며, 이러한 화폐는 화폐수집가들의 소장용으로 거래되기도 하므로 가까운 화폐수집상에 문의하시기 바랍니다. "
86,"질문
발권출납 우리나라 화폐단위의 법적 근거","답변
우리나라 화폐단위인 ‘원’은 그동안 『긴급통화조치법』(1962.6.10. 시행)에 규정되어 있었으나 2012년 『한국은행법』 개정(2012.4.22. 시행)으로 동 법률에 화폐단위를 규정하였습니다."
87,"질문
발권출납 손상권 교환 및 금액판정 기준","답변
손상되거나 찢어진 돈, 불에 탔더라도 귀퉁이만 약간 훼손되어 금액을 판정하기 어렵지 않은 돈은 가까운 은행에서도 교환할 수 있습니다. 그러나 불에 심하게 타거나 돈의 크기 판정이 명확하지 않아 교환금액 판정이 어려운 손상화폐는 한국은행 본부 및 전국의     지역본부에서 교환하실 수 있습니다.
  돈을 바꾸어 줄 때의 기준은 돈의 남아있는 면적(교환되는 돈이 자연적 또는 물, 불, 화학 약품 등에 오염되어 그 돈의 면적이 늘어나거나 줄어들었을 때에는 변형된 면적)이 3/4이상이면 전액으로, 2/5이상이면 반액으로 인정하여 바꾸어 주며, 2/5미만이면 무효로 처리되어 교환하여주지 않습니다. 불에 탄 돈의 경우는 재부분을 남아있는 면적으로 인정해서 교환을 해 주고 있습니다.
  한편, 돈이 완전히 탔다 하더라도 돈의 형태를 육안으로 알아 볼 수 있고 불에 탄 돈의 재가 흩어지지 않고 원상을 그대로 유지할 경우에만 교환이 가능하기 때문에 무엇보다 불에 탄 재를 원형대로 보존하여 한국은행에 가져오는 것이 중요합니다.
  자세한 내용은 홈페이지 화폐 메뉴의 ‘화폐관련 법규 및 서식 / 화폐교환 기준 및 방법’ 을 참조해 주시기 바랍니다."
88,"질문
발권출납 화폐개혁 시기 및 교환비율","답변
우리나라는 해방 이후 3차에 걸쳐 화폐의 교환비율과 호칭을 조정하는 통화조치(denomination)를 실시하였습니다. 이의 주요내용은 다음과 같습니다. 

1차 통화조치 : 1950년 8월 28일 6.25전쟁 발발 직후 피침지역에서 불법 남발된 적성통화의 유통을 막고 경제교란행위를 봉쇄하기 위하여 『대통령긴급명령』제10호에 따라 조선은행권 100圓券의 유통을 정지하고 이를 한국은행권과 교환토록함
▶ 1950.9.15부터 1951.4.30까지 4차에 걸쳐 조선은행권과 한국은행권을 무제한 등가교환(等價交換) 

2차 통화조치 : 1953년 2월 15일 6.25전쟁 발발 후 막대한 전비지출 등에 따른 통화증발로 1952년초부터 물가상승(Inflation)이 급속도로 진행되었는 바 이에 따른 시중 과잉구매력 흡수와 체납국세(滯納國稅)의 일소(一掃) 및 연체대출금의 회수 등을 목적으로  『대통령 긴급명령』제13호에 의해 실시
▶ 1953.2.17부터 통화단위를 100분의 1로 절하하는 한편 화폐호칭을 '원(圓)' 에서 '환'으로 변경 

3차 통화조치 : 1962년 6월 10일 5.16 군사정변 이후 재정 및 금융면의 확장정책에 의하여 누적된 과잉통화를 흡수하여 물가상승 요인을 미연에 제거하고 퇴장자금을 양성화하여 경제개발계획에 필요한 산업자금으로 활용할 목적으로 『긴급통화 조치법』에 의해 시행 
▶ 1962.6.10부터 통화단위를 10분의 1로 절하하고 화폐호칭을 '환'에서 '원'으로 변경"
89,"질문
발권출납 1원화 및 5원화, 구 10원화 3종, 구 은행권 6종","답변
 1원화 및 5원화는 일반 상거래에서 지급수단으로서의 쓰임새가 거의 사라져 당행에서는 현용주화세트 공급 이외의 제조는 중단하고 있으며 2005년 6월 이후 한국은행 화폐교환창구에서는 1원화 및 5원화 교환발행을 하지 않고 있습니다.
  아울러 구 10원화 3종(가·나·다 10원화) 역시 새 10원화로 대체된 지 10년이 경과하였고 민간의 수요도 거의 없는 점 등을 고려하여 2016년 7월 이후 한국은행 화폐교환창구에서 교환발행을 중지하였습니다.  
  그리고 구 은행권 6종(다·라·마 만원권, 다·라 5천원권, 나 천원권)은 상거래에서 거의 사용되지 않고 있고 ATM 등 현금취급기기도 대부분 새 은행권만을 사용하고 있어 2016년 6월 이후 한국은행에서의 발행을 중지하였습니다.  "
90,"질문
발권출납 화폐도안의 광고물 이용행위 등에 대한 제한","답변
화폐도안을 광고소재로 사용하는 것은 원칙적으로 바람직하지 않습니다. 왜냐하면 돈을 상업적 광고 도안에 이용함으로써 화폐의 품위를 손상시키고 일반인으로 하여금 무의식적으로 위조화폐 제작의 충동 등을 일으켜 신용사회 질서를 혼란시킬 우려가 있기 때문입니다.
     한국은행은 한국은행이 발행하는 화폐의 도안에 대한 저작권을 보유하고 있으며, 화폐도안을 무단으로 사용하는 행위는『저작권법』에 의해 금지되고 있습니다. 한국은행을 비롯한 대부분의 중앙은행들이 화폐도안 이용기준을 설정하여 국민의 화폐도안 이용행위가 바람직한 방향으로 유도되도록 많은 노력을 기울이고 있습니다.
     한국은행이 마련한 「한국은행권 및 주화의 도안 이용기준」에서 정하고 있는 일정 범위 내에서는 한국은행의 승인절차가 필요하지 않으나 동 범위를 넘어서는 방법으로 화폐 도안을 이용하고자 하는 경우에는 도안 이용 이전에 한국은행 발권정책팀(전화  02-759-4087, FAX 02-759-4144)으로 반드시 문의하셔야 하며, 어떠한 경우에도 화폐도안을 영리목적의 상품 디자인 등에 직접 이용할 수 없습니다."
91,"질문
지급결제 한국은행금융결제망(BOK-Wire+)","답변
한국은행금융결제망(BOK-Wire+)은 1994.12월부터 한국은행과 금융기관을 온라인으로 연결하여 금융기관간 또는 한국은행과 금융기관간의 거액자금거래를 한국은행에 개설된 예금계좌를 통하여 전자자금이체(electronic funds transfer) 방식에 의해 건별로 즉시 처리함으로써 지급결제를 종료시키는 실시간 총액결제(RTGS : Real-time Gross Settlement)시스템으로 운영해 왔습니다.
  그러나 한은금융망이 가동된 이후 우리나라의 금융 및 외환시장 규모가 빠르게 확대되어 금융기관들이 한은금융망을 통해 결제해야할 규모도 크게 늘어나면서 금융기관의 일중 결제유동성 조달 부담과 이에 따른 결제 리스크가 증대되었습니다. 이에 따라 한국은행은 참가기관의 이체지시를 건별로 처리하는 기존의 실시간 총액결제(RTGS : Real-time Gross Settlement) 방식에 양자간 및 다자간 동시처리 방식을 추가하여 상계(offsetting)결제 효과를 거둘 수 있는 혼합형 결제시스템(hybrid system)을 2009.4월부터 도입하였습니다. 이를 통해 참가기관들은 결제를 위해 보유해야 하는 유동성 부담을 크게 경감시킬 수 있습니다.
 
그리고 한국은행의 서버와 참가기관의 서버를 직접 접속하여 처리하는 방식을 도입하였습니다. 그 동안 한은금융망 참가기관은 영업점의 자금이체지시를 본점부서에서 모아 한은금융망 단말기를 통해 재입력해야 했으나 동 방식에 의하면 이와 같은 번거로운 절차를 생략할 수 있게 되었습니다.
 
아울러 결제정보관리시스템을 포함한 별도의 모니터링 시스템을 구축하였습니다. 각 참가기관은 이를 이용하여 결제 상황을 실시간으로 파악하고 유동성을 보다 편리하게 관리할 수 있습니다.
  현재 운영되고 있는 한은금융망은 종전과 마찬가지로 원화 및 외화자금이체업무는 물론 한국은행과 금융기관간의 대출관련업무, 국고금수급관련업무, 국공채거래관련업무 및 통화금융정보업무 등을 취급하고 있습니다. 또한 어음교환, 은행지로 등 은행공동망 등의 운영 결과 발생하는 은행들간 주고받을 금액도 차액결제방식으로 최종결제하고 있으며, 증권결제시스템 및 CLS외환동시결제시스템과 연결하여 금융기관들의 증권 및 외환결제대금도 결제하고 있습니다."
92,"질문
경제통계 분기 경제성장률","답변
전기비 성장률은 현재 분기의 경제상황이 직전 분기보다 나아지고 있는지 또는 나빠지고 있는지를 판단하는 지표로서 통계적 기법에 의해 계절변동조정된 계열에 기초하여 계산됩니다. 계절변동조정이란 명절, 공휴일수, 영업일수의 차이 등으로 인해 경제시계열이 갖고 있는 계절적 패턴을 통계적 기법을 이용하여 제거하는 과정을 의미합니다.
  이에 반해 전년동기대비 성장률은 전년의 같은 분기에 비해 당해 분기가 얼마나 성장했는지를 보여주는 지표로 연간 성장률을 사전적으로 가늠하는 데 적합합니다. 전년동기대비 성장률은 원계열 통계를 그대로 사용하기 때문에 작성이 간편하고 이해하기 쉬우며 변동성이 작은 장점을 지니고 있지만, 비교대상이 1년전 시점이기 때문에 단기적인 경기변동 파악이 어려울 뿐만 아니라 경기전환점 포착시기가 늦다는 단점을 내포하고 있습니다. 이러한 이유로 인해 우리나라를 비롯한 대부분의 주요 선진국들은 계절조정계열의 전기비 성장률을 주지표로 채택하고 있습니다.
  한편 전기비 연율은 전기비 경제성장의 속도를 연간 수치로 환산한 것으로 계절변동조정계열을 기초로 작성되며 미국, 일본 등이 이 방식으로 분기 경제성장률을 공표하고 있습니다.
  이와 같이 산출방식에 따라 여러 가지의 분기 경제성장률이 있으므로 국가간 분기성장률을 비교하는 데 있어서 세심한 주의가 필요합니다.

전기비 성장률(%) = ((|Y(t-1) ÷Yt)-1) x 100"
93,"질문
발권출납 화폐도안 선정기준","답변
먼저 현용화폐의 경우 한국은행은 화폐 도안에 대한 국민여론과 각계 전문가들의 의견 등을 종합하여 국가와 민족을 대표할 수 있는 선현 또는 상징물을 도안소재로 채택합니다. 이렇게 채택된 도안 소재는 한국은행이 요구하는 규격, 색상, 적용 위조방지장치 등의 기준에 따라 전문가들이 위조방지장치 배치, 인쇄 용이성 등을 감안하여 실제 화폐도안을 작성하게 됩니다. 이 도안은 다시 각계 전문가들로 구성되는 화폐도안 자문위원회의 자문을 거쳐 여러차례 수정, 보완하게 되며, 최종적으로 정부의 승인과 한국은행 금융통화위원회의 의결을 거쳐 화폐도안으로 확정됩니다.
  기념화폐의 경우 한국은행은 각계 전문가들로 구성된 화폐도안 자문위원회의 자문을 거쳐 기념 사안에 적합한 도안소재를 선정합니다. 기념은행권의 경우 이런 도안 소재를 바탕으로 규격, 색상, 타이포그래피(글자 배열), 위조방지장치 등을 고려하여 실제 화폐도안을 마련하게 됩니다. 기념주화는 규격, 소재, 적용기술 등을 감안하여 도안을 준비하게 됩니다. 기념화폐 도안은 화폐도안 자문위원회의 자문과 정부의 승인, 한국은행 금융통화위원회의 의결을 거쳐 확정됩니다.  "
94,"질문
발권출납 위조화폐 구별 방법","답변
지폐는 ‘만져보고’, ‘기울여보고’, ‘비추어보면서’ 다음과 같은 위조방지장치를 확인하면 위     조여부를 알 수 있습니다.
   ""위조화폐를 쉽게 확인하는 방법"""
